country,countryCode,year,date,holidayName
Italy,IT,*,01/01,New Year's Day
Italy,IT,*,01/06,Epiphany
Italy,IT,2016,03/28,Easter
Italy,IT,2016,03/29,Easter Monday
Italy,IT,*,04/25,Liberation Day
Italy,IT,*,05/01,International Workers' Day
Italy,IT,*,06/02,Republic Day
Italy,IT,*,08/15,Ferragosto/Assumption Day
Italy,IT,*,11/01,All Saints' Day
Italy,IT,*,12/08,Immaculate Conception
Italy,IT,*,12/25,Christmas Day
Italy,IT,*,12/26,St. Stephen's Day
Italy,IT,2014,04/20,Eater
Italy,IT,2015,04/05,Eater
Italy,IT,2017,04/16,Eater
Italy,IT,2018,04/01,Eater
Italy,IT,2019,04/21,Eater
Italy,IT,2020,04/12,Eater
Italy,IT,2021,04/04,Eater
Italy,IT,2014,04/21,Eater Monday
Italy,IT,2015,04/06,Eater Monday
Italy,IT,2017,04/17,Eater Monday
Italy,IT,2018,04/02,Eater Monday
Italy,IT,2019,04/22,Eater Monday
Italy,IT,2020,04/13,Eater Monday
Italy,IT,2021,04/05,Eater Monday
